pieutiwbyo	dziwbyo	dziwbyoNguaidziw	syenjyongdziw	krenqhruadziw	nitpundziw	thongqitmra
095DC	關			关	関	U+95DC
095E0	闠					U+95E0
095E4	闤					U+95E4
0961C	阜					U+961C
0961E	阞					U+961E
09621	阡					U+9621
09627	阧					U+9627
09629	阩					U+9629
0962F	阯		址			U+962F
09631	阱					U+9631
09632	防					U+9632
0964B	陋					U+964B
0964C	陌					U+964C
0964D	降					U+964D
09654	陔					U+9654
0965E	陞		升			U+965E
0965F	陟					U+965F
09661	陡					U+9661
09664	除					U+9664
09670	陰			阴		U+9670
09675	陵					U+9675
09676	陶					U+9676
09677	陷				陥	U+9677
09678	陸			陆		U+9678
0967B	陻		堙			U+967B
0967D	陽			阳		U+967D
09685	隅					U+9685
0968A	隊			队		U+968A
0968D	隍					U+968D
0968E	階			阶		U+968E
09695	隕			陨		U+9695
09699	隙					U+9699
096A4	隤			𬯎		U+96A4
096A7	隧					U+96A7
096AA	險			险	険	U+96AA
096B8	隸			隶	隷	U+96B8
096BB	隻			只		U+96BB
096C0	雀					U+96C0
096C6	集					U+96C6
096C7	雇					U+96C7
096C8	雈					U+96C8
096CA	雊					U+96CA
096CD	雍					U+96CD
096D2	雒					U+96D2
096D4	雔					U+96D4
096D5	雕					U+96D5
096D9	雙			双	双	U+96D9
096DE	雞		鷄	鸡		U+96DE
096E3	難			难		U+96E3
096E8	雨					U+96E8
096E9	雩					U+96E9
096EA	雪					U+96EA
096EB	雫					U+96EB
096EF	雯					U+96EF
096F1	雱					U+96F1
096F2	雲			云		U+96F2
096F9	雹					U+96F9
096FB	電			电		U+96FB
09700	需					U+9700
09702	霂					U+9702
09704	霄					U+9704
09716	霖					U+9716
0971C	霜					U+971C
09723	霣					U+9723
09730	霰					U+9730
09732	露					U+9732
09736	霶					U+9736
0973E	霾					U+973E
09742	靂			雳		U+9742
09752	青					U+9752
09756	靖					U+9756
09759	静					U+9759
0975A	靚			靓		U+975A
09762	面					U+9762
09766	靦					U+9766
09767	靧					U+9767
09769	革					U+9769
09774	靴					U+9774
09778	靸					U+9778
0977C	靼					U+977C
0977D	靽					U+977D
09780	鞀					U+9780
09784	鞄					U+9784
09788	鞈					U+9788
09789	鞉					U+9789
0978D	鞍					U+978D
0978F	鞏			巩		U+978F
09798	鞘					U+9798
0979A	鞚					U+979A
0979F	鞟					U+979F
097A6	鞦			秋		U+97A6
097B3	鞳					U+97B3
097BE	鞾		靴			U+97BE
